projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
2b8e9fbbdf783b6d84a576d5d419c8bb,41db08ebdc29595f9352aec5c8a1a0f0,ab7572662ceb618a8231ea2bd5619647,360008602288,40.844243,-73.907793,Bronx,NY,10457,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,t,Literature & Writing,Literacy & Language,History & Geography,History & Civics,Supplies,highest poverty,Grades 3-5,30.00,224.28,263.86,45,f,f,2013-12-22
a667de29a686b6c4a384222e0f51f704,6198d1777414ef4f0a7a8191f9e70b47,ee0cd81ac38ef1151b95a26edeeef120,482115002121,29.767108,-94.930133,Baytown,TX,77521,urban,Goose Creek Cons Ind Sch Dist,Harris,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Character Education,Applied Learning,Supplies,moderate poverty,Grades 3-5,30.00,573.01,674.13,5,f,f,2013-12-21
6b58c2eaf6f52dec27103f3d00dea589,32f4b669acb8cbbd392ec30960770489,174d04da5d3893038ea76023cc9cc008,063639012231,37.467438,-122.132126,E Palo Alto,CA,94303,suburban,Sequoia Union High Sch Dist,San Mateo,t,f,f,f,f,t,Ms.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Books,highest poverty,Grades 9-12,30.00,199.50,234.71,15,f,f,2013-12-21
7d5c79f1b67dc13ef255857e2372cd57,c9297b39f648b77f83e4d8720e7e2786,91d99c4e0b95099b4ee5ac7b201bf769,120048000666,30.375155,-81.655725,Jacksonville,FL,32208,urban,Duval Co Public School Dist,Duval,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Technology,highest poverty,Grades PreK-2,30.00,650.98,765.86,36,f,f,2013-12-21
42110911042e030d2e53e91ad5c621fa,65e6c5ed32a43d7da525c9a9c0f3c59e,b5028b9b97d5c31eddddb9eb68452281,"",33.787428,-84.476528,Atlanta,GA,30318,urban,Atlanta Public Schools,Fulton,f,f,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,,,Supplies,highest poverty,Grades 9-12,30.00,2400.75,2824.41,150,f,f,2013-12-20
8d24b47b476a62b1d460780b9f8c872c,b37aff6ccecb9e92f7f24f19f3754ee6,d64f46220d6a2edb828a21a859f5b292,483294003661,29.518276,-98.382843,San Antonio,TX,78239,suburban,North East Ind School District,Bexar,f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,Environmental Science,Math & Science,Supplies,highest poverty,Grades 3-5,30.00,471.43,554.62,300,f,f,2013-12-20
ad4450c4f16fb5522a65d413d84eb402,a1a68fb56b7492260cbedc3234eb5325,893e057ab370d49d30b98e32e13138f6,370297001261,35.165155,-80.863411,Charlotte,NC,28210,urban,Charlotte-mecklenburg Sch Dist,Mecklenburg,f,f,f,f,f,f,Ms.,t,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades 3-5,30.00,457.33,538.04,20,t,f,2013-12-19
8e4029e82300a9b34c37fbffe151b033,1228339b49b9f6d632c14a82e18671b1,fdaeecaafcd5c5b64895be5c387fc496,062007010228,38.972500,-122.649835,Clearlake,CA,95422,,Konocti Unif School District,Lake,f,f,f,f,f,f,Mr.,f,f,Visual Arts,Music & The Arts,Applied Sciences,Math & Science,Technology,highest poverty,Grades 3-5,30.00,550.17,647.26,35,f,f,2013-12-19
b0d66efdda79499727f36ecb687240be,35e59f2e4422d529864d9d4ab95aaf63,cb08410cf4abe52a0fdca4b35c033723,120144005029,28.475545,-81.270680,Orlando,FL,32829,,Orange Co Public School Dist,Orange,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,high poverty,Grades PreK-2,30.00,1056.98,1243.51,15,t,f,2013-12-19
d3188de38deaf7fd6f0adc837134c56c,3982c58f13860081512b9aafdb159726,7f75b2c9bf678b8fa9570fa901247176,370472002487,35.750955,-78.723292,Raleigh,NC,27606,urban,Wake Co School District,Wake,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Extracurricular,Applied Learning,Technology,high poverty,Grades 3-5,30.00,2009.34,2363.93,40,f,f,2013-12-19
44075c7bbd6c9f3166cfc5af4f09159e,a0dab845e1cfdc891150ea00c5c9c1dc,b31147dd6dd82ac4704cc246f0b9a5bd,090192000373,41.756275,-72.707565,Hartford,CT,06106,urban,Hartford Public School Dist,Hartford,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,30.00,387.08,455.39,21,f,f,2013-12-18
a2b9a0888b1c3e22896b7333867a1001,5a8ad975528473e9246e319c6c178812,fe61be541ea0878c1f718cd936da3aca,360009204474,40.660793,-73.988731,Brooklyn,NY,11215,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,f,t,Mathematics,Math & Science,Visual Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,30.00,316.44,372.28,99,f,f,2013-12-17
bd9e5e7b9239559e8bb7035f313916c0,3d03c1ca6709e4e6426988d57956b7a8,5679b7b0dffdc402d04cdcf92fea041a,482901007819,30.608776,-98.371628,Granite Shls,TX,78654,,Marble Falls Ind Sch District,Burnet,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.00,346.49,407.64,40,f,f,2013-12-16
8a32e0e466701556669a2c66d9587b55,3d3aca05f4a4aa6fe5dd4cc6077af565,a773ca9f488c6a32042714684e410156,172215004560,38.721776,-87.695907,Lawrenceville,IL,62439,,Lawrence Co Cmty Sch Dist 20,Lawrence,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Supplies,high poverty,Grades PreK-2,30.00,172.36,202.78,19,f,f,2013-12-16
6a7c34f3f33799789ab6e08e53824c8b,f71d3f0ecd7a02503051eb4f76606559,f929653dbea80df056985cf0d9f1509b,482566002878,31.112311,-97.759412,Killeen,TX,76549,urban,Killeen Ind School District,Bell,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Supplies,high poverty,Grades PreK-2,30.00,232.97,274.08,775,f,f,2013-12-16
ea55b7c018e9505f7d4e66f7ba9b5d4b,5ece35d74d89a1c852b4273e315d7ef5,7e6d8c2b9029ee72393932ad5aba1912,063023004722,38.299912,-122.665686,Penngrove,CA,94951,rural,Petaluma City School District,Sonoma,f,f,t,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Technology,moderate poverty,Grades 3-5,30.00,1407.60,1656.00,25,f,f,2013-12-16
90c5418b72d3714bd6de6e8362ac6c92,8fc9ab638cd3665342149a77c6de7d1f,006870183f690589bc551acac6f7b3b9,180477000856,39.826161,-85.988823,Indianapolis,IN,46235,urban,Indianapolis Public Sch Dist,Marion,f,t,t,f,f,f,Ms.,t,f,Literacy,Literacy & Language,History & Geography,History & Civics,Technology,highest poverty,Grades 9-12,30.00,690.60,812.47,150,t,f,2013-12-16
9e173f1bf453bdd4efc8643a76319667,f3f401aa599f4eae37fbd376a704be2a,fa8087993234f3e62005dac0d07b24fa,483483006310,30.431994,-97.675264,Austin,TX,78728,suburban,Pflugerville Ind Sch District,Travis,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Character Education,Applied Learning,Technology,high poverty,Grades PreK-2,30.00,346.49,407.64,20,f,f,2013-12-15
ead612606bb8e1f8b46a8d954abe1e92,e6f7f7abf795e4c53a44a6e0728117ae,be2861987d09babfab1cf8dfb8259800,330441000233,42.866966,-71.375288,Londonderry,NH,03053,suburban,School Administrative Unit 12,Rockingham,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,,,Technology,low poverty,Grades 3-5,30.00,381.92,449.32,6,f,f,2013-12-15
cbd3bcd5959f651c0f3a2b6907061e02,a0b53a1ffb4e82c02843855fb4ba0502,1fa0554defd776bc620edb2ec36278ef,510306002130,37.267028,-78.405492,Farmville,VA,23901,rural,Prince Edward School District,Prince Edward,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Economics,History & Civics,Supplies,high poverty,Grades 6-8,30.00,235.25,276.76,23,t,f,2013-12-15
c82d8bbefd964fa254808d53e74057c2,f6640df74e7ec2fd9b5f972858d7cee5,ed56cd8bdf7f55259b6cb367e0ceea35,190897000534,41.621086,-93.574478,Des Moines,IA,50317,urban,Des Moines Public School Dist,Polk,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Technology,highest poverty,Grades PreK-2,30.00,768.39,903.99,26,f,f,2013-12-15
12688455637b1dca192de9bb28d24d71,f4eee363048f77bb29fcadfc1e31290a,015e53e6ef9d7de6e4d63e0310c095f1,061233001405,38.480629,-121.444931,Sacramento,CA,95823,urban,Elk Grove Unif School District,Sacramento,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,30.00,162.52,191.20,24,f,f,2013-12-15
3853aa66ad185845af8a6630012c8c34,76ff8ec8929e145e1beef0468dad2188,fdc9aa78f8b6bb741ecaccc66df6356b,270579000223,44.815247,-93.295968,Bloomington,MN,55431,urban,Bloomington Pub Sch Dist 271,Hennepin,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Books,high poverty,Grades PreK-2,30.00,178.38,209.86,24,f,f,2013-12-15
ebb875a08476e1ff3b1858d3aa4c262a,cb1a5d03041ff40080718b5a868b4f50,6e9adf2000e640e72a2fd3b0e376c9ce,061233011060,38.399440,-121.424094,Elk Grove,CA,95757,rural,Elk Grove Unif School District,Sacramento,f,f,t,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Environmental Science,Math & Science,Books,moderate poverty,Grades 3-5,30.00,328.41,386.36,24,f,f,2013-12-15
4ebdc6899d2d1321f8226d578306053b,75e7f5496410574318159ab484dee34f,d1ebcb1edb493e51a319a2777c8e7490,010276001109,33.926973,-85.615905,Piedmont,AL,36272,,Piedmont City School District,Calhoun,f,f,f,f,f,f,Mrs.,f,f,Health & Life Science,Math & Science,History & Geography,History & Civics,Technology,high poverty,Grades 3-5,30.00,477.37,561.61,25,f,f,2013-12-15
732bfd5b3c175261c3e6f9d77d8580e2,f7578387d0cfe365d9615e32e65fb418,cf081bbe1850a38f3cbbabd9dc39532a,293057002098,38.443890,-91.007968,Union,MO,63084,,Union School District R11,Franklin,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,high poverty,Grades PreK-2,30.00,494.67,581.96,80,f,f,2013-12-14
ed7f89d152febba24d0a2cca6d88b2bf,d74d924c5722a8c0ed2c95258dcd3587,90da47ca4e592546c5a1eb917739aade,090153000258,41.187908,-73.249667,Fairfield,CT,06825,suburban,Fairfield Public Schools,Fairfield,f,f,f,f,f,f,Mr.,f,f,Other,Applied Learning,,,Technology,low poverty,Grades 6-8,30.00,2085.00,2452.94,160,f,t,2013-12-14
b18c8570d785a067e436251597e21049,9fb66b201e1b3dbec62b78bff06fb287,dc34b021fd177cfdb22f22055ca9d04f,010060000256,32.838778,-85.517527,Lafayette,AL,36862,rural,Chambers Co School District,Chambers,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades 3-5,30.00,199.89,235.16,19,f,f,2013-12-13
cfdea4a223f1a00cadbffb7eecb5e99e,cfb0fbf9c4503a0c0e26e25b8adafc3f,7b5371128ddaa2b0464a70f36557b2ad,320006000055,36.185638,-115.210739,Las Vegas,NV,89108,urban,Clark Co School District,Clark,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Technology,highest poverty,Grades 3-5,30.00,791.42,931.08,20,f,f,2013-12-12
e5f0246bfdb6f54b9612200cb3798538,27f80252538959da641abf99a23aea04,e80ac578e5de5a2fa58e61b226b59732,"",33.934803,-118.268921,Los Angeles,CA,90061,,Los Angeles Unif Sch Dist,Los Angeles,t,f,f,f,f,t,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,30.00,470.63,553.68,600,f,f,2013-12-11
61b2ad2271b2302b0821ad7e6bff0ee9,a60954bbe5aedbe54d615784f6cc4b08,24c52e92b6b71661a52b08a24aab4cdc,110003000267,38.915418,-77.004264,Washington,DC,20002,urban,Dc Public Schools,District Of Columbia,f,f,f,t,f,f,Ms.,f,f,Literacy,Literacy & Language,Special Needs,Special Needs,Books,highest poverty,Grades 6-8,30.00,308.72,363.20,8,f,f,2013-12-10
b907f44ab1c0e877e317e6a9a94e5cb0,8228118d4461633d4f8786285f928ffa,60ba95f45051bad1020343f3f8566d24,370297002266,35.183228,-80.689468,Charlotte,NC,28227,rural,Charlotte-mecklenburg Sch Dist,Mecklenburg,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,30.00,254.58,299.51,25,f,f,2013-12-10
9b262e3874bfb9b6f7e99890020ea98a,188916fc92a98990eca79c1cd45c8338,ebff0e99fa61b6651df2fd8842f28390,360009602750,40.654828,-73.941010,Brooklyn,NY,11203,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 3-5,30.00,198.82,233.91,180,f,f,2013-12-10
a2c7a707f08250aefd8fc63791517da3,7f95e019eea965cf64c956a7a540f3e3,a0672dd2707d0f88e98f6ed47f07c89b,530396002112,47.379540,-122.171509,Kent,WA,98030,urban,Kent School Dist 415,King,f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,high poverty,Grades 3-5,30.00,250.50,294.71,100,f,f,2013-12-10
f2bc4e4536a76821473e51c447709801,25812caa7d79e04690ab31a1d4a04862,ef5ec87d7cd7908592a4d677aede25f7,060962000995,33.903972,-118.228114,Compton,CA,90220,urban,Compton Unified School Dist,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Health & Life Science,Math & Science,Technology,highest poverty,Grades 3-5,30.00,1222.59,1438.34,32,f,f,2013-12-10
a1db067d6959aa789cfb6e0bdae90e30,dca9c6036777208d460f9a42e6aef949,4d229ba73344e01d1b312650f065ed9b,483873004385,29.407524,-98.462395,San Antonio,TX,78210,urban,San Antonio Ind School Dist,Bexar,f,t,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Special Needs,Special Needs,Books,high poverty,Grades 6-8,30.00,419.60,493.65,75,f,f,2013-12-10
7c04d1d46100187d640138201295c601,529e1904d2dc06a2d5ddb54576ad4b28,49f2b7d656da6f5b850ae62d302c9507,062271003039,34.072123,-118.206004,Los Angeles,CA,90031,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Economics,History & Civics,Technology,high poverty,Grades PreK-2,30.00,595.24,700.28,23,f,t,2013-12-10
0599026384501928f0a4bb1056511512,677063fb7f51cf17dee2638522c1c4c1,594eb84ec088073644ae9c7188882758,063513012300,37.769507,-121.909324,San Ramon,CA,94582,rural,San Ramon Valley Unified SD,Contra Costa,f,f,f,f,f,f,Ms.,f,f,Health & Wellness,Health & Sports,ESL,Literacy & Language,Supplies,low poverty,Grades 6-8,30.00,199.75,235.00,30,f,f,2013-12-10
64c41b8942aa3415cf5bdbaa76d1b91f,67ffdb0bbf37e44ff107728309a91caf,c7239560d52667a1d6a4d1e84094c83d,482892011340,32.585372,-97.061784,Mansfield,TX,76063,suburban,Mansfield Ind School District,Tarrant,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,ESL,Literacy & Language,Technology,moderate poverty,Grades 3-5,30.00,866.22,1019.08,90,f,f,2013-12-10
88ab8bf76fe68369fb26b8073ce078af,67888ead3a623a256569bc3c6e29320d,8a4ca4320dc11d7529dd0c694f87b160,402025002214,35.354284,-97.529808,Oklahoma City,OK,73170,urban,Moore School District I-2,Cleveland,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Applied Sciences,Math & Science,Supplies,moderate poverty,Grades 6-8,30.00,1035.60,1218.35,400,t,f,2013-12-10
bf9419379aacd823e055e61f7195a8b3,5a1718b66c09b6277ff3715e802a09de,e253e67033d604bf0c900ebc78eb16a4,481623001327,32.698006,-96.772652,Dallas,TX,75216,urban,Dallas Ind School District,Dallas,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30.00,549.48,646.45,24,t,f,2013-12-09
c896fec24dc5859b80fbace9e1c4b54d,b034725e16c1e4448a4b9303348dda0a,de94c1acaf3f27aafd7403472edac0e4,390446701549,39.254292,-84.399673,Cincinnati,OH,45241,suburban,Princeton City School District,Hamilton,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,,,Other,high poverty,Grades PreK-2,30.00,385.57,453.61,8,f,f,2013-12-09
55474cd268757514dee7e51a864d1773,32137819b32eb9181af72733f022e732,48d120947df1fc3c3d64fd620946a276,063441005599,37.794430,-122.408806,San Francisco,CA,94108,urban,San Francisco Unified Sch Dist,San Francisco,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades 3-5,30.00,460.96,542.31,670,f,f,2013-12-09
