resourceid,projectid,vendorid,vendor_name,project_resource_type,item_name,item_number,item_unit_price,item_quantity
e8dd9dfe89e77f899b4ebbacf5d44fa8,deb0a7b77f253b11847c3abd23897d3d,7,AKJ Books,Books,Wordly Wise 3000: Book 6,9780838828243,12.4,3
f4d3ba5ac3f500e77630735a2161db14,deb0a7b77f253b11847c3abd23897d3d,7,AKJ Books,Books,Wordly Wise 3000: Book 5,9780838828236,12.4,3
505830ac6398f7a7a173af558c428b9a,deb0a7b77f253b11847c3abd23897d3d,7,AKJ Books,Books,Worldly Wise 3000 Book 7: Systematic Academic Vocabulary,9780838876077,11.16,3
ff02e5a3fcba0412adf7b687d7a7030a,deac11756a15505bc690f779edaec696,82,Best Buy for Business,Technology,Apple&#174; iPad&#174; mini Wi-Fi - tablet - iOS 6 - 16 GB - 7.9,BB12424790,329.99,1
d3221fa09c08531f19143f1184f57054,deaa0ffce4a802d491ed86b5fdbfb521,82,Best Buy for Business,Technology,Kindle Fire HD Bundle,BB12425149,199.99,2
ee8b5d3bd64de197c849536f3bc22407,de8c7141c902ec08de75cbdc327d59ee,2,Kaplan Early Learning Company,Books,Classic Read Alongs - Level 1,86514,108.95,1
5ce4c56767e997c5a36f076b7eac0df6,de84f7eda301e50ddff88408eba572d3,150,CDW-G,Technology,Amazon Kindle Fire   tablet   8 GB   7,2519395,198.99,2
6637190a61e3edec0a028c4142f74fe2,de84f7eda301e50ddff88408eba572d3,767,Lakeshore Learning Materials,Technology,CD506C - Money CD-ROM - Class License,CD506C,29.95,1
c81907598ae09aefa076ea6af1c3a871,de84f7eda301e50ddff88408eba572d3,178,Quill.com,Technology,Dell Notebook Computer Inspiron I14RN-1818DBK,901-374303,649.99,1
14655fa2f6cbb9978707250d25d33d20,de7c163aa8a4ca92f213fda9b6b27590,2,Kaplan Early Learning Company,Supplies,Individual Terrarium - 1 Gallon,24272,10.95,1
ad85928b1820e3cb3874d1e6eac69b69,de7c163aa8a4ca92f213fda9b6b27590,2,Kaplan Early Learning Company,Supplies,Odd Pods Cactus Garden,24261,12.95,1
0111354fc9cf204958dceac6d0a97068,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,STICKS JUMBO NATURAL PACK OF 500 - SCHOOL SMART,085961,8.39,1
179dff5fc08130bde8daf475a2e75e64,de7c163aa8a4ca92f213fda9b6b27590,767,Lakeshore Learning Materials,Supplies,GR242 - See It Grow Plant Lab,GR242,24.95,1
edff263acdef045034e67072ef978849,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,WATERING CAN PLAS 36 OZ,2303102,7.15,2
f2e497ed4b725f4cac3317bb87115a3d,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,SHOVEL GARDEN,190-2592,3.55,20
579fa0ad3127de8b7ec44bec3e485201,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,HABITAT ANTWORKS,080-2598,17.95,1
109c118755cb4559fac879d9a95c1561,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,SOIL POTTING 4 LBS,1913559,3.55,8
9be101d9c97570ea06e2f49664bb8036,de7c163aa8a4ca92f213fda9b6b27590,775,Frey Scientific,Supplies,MAGNIFIER ROUND 3X 6X PKG/30,130-3246,25.65,1
68882e3541f601b33cf06c9f749eb93a,de7c163aa8a4ca92f213fda9b6b27590,767,Lakeshore Learning Materials,Supplies,LA820X - Lakeshore No-Spill Paint Cups - 10-Color Set,LA820X,10.95,2
307c2d0c1e693565052fd8db3ac116e1,de7c163aa8a4ca92f213fda9b6b27590,2,Kaplan Early Learning Company,Supplies,Seed to Plant,24264,25.95,1
d24bb970246cdbb0f808ed548ea3acef,de7c163aa8a4ca92f213fda9b6b27590,95,Carolina Biological Supply Company,Supplies,Painted Lady Butterfly Amazing Bugs Kit w/Larvae,144084,25.6,2
be75d2d73a517f66baba7152510b1d06,de7c163aa8a4ca92f213fda9b6b27590,95,Carolina Biological Supply Company,Supplies,Root-Vue Farm(r),952410,28.97,1
d8ff8ccf6475b99e361cd971776fb72c,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RE437 - Feelings & Emotions Paperback Library,RE437,82.5,1
327381303496d0a4c08b37e69cff9a0c,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,WA298 - Nursery Rhyme Leveled Readers,WA298,39.95,1
5166182a737edef9d439ecd6d6e4fbf4,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RA716 - Science Stories Paperback Library,RA716,86.5,1
f6b95437960a25a383d295b422742964,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,BK440X - Building Self-Esteem Hardcover Library,BK440X,94.5,1
fa95a5252bbfb7d138de32ed15ec9b13,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RA929 - Folk Tales & Fairy Tales Paperback Library,RA929,84.5,1
4f530e3255d87a3b536595cdf15f1d51,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RA131 - Differing Abilities Paperback Library,RA131,86.5,1
b9b4afd3a1abdd0fb75e42f7b5dd1f7f,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RA134 - Healthy Habits Paperback Library,RA134,87.5,1
09297f3f9d5ebac4a4350498636b03e4,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,RR850X - Multicultural Stories Paperback Library,RR850X,94.5,1
2c40ddebc099e8d23625d22526cda193,de5713616ba1ffa16b6558e189d7b393,767,Lakeshore Learning Materials,Books,"RA303 - Me, My Friends & Family Paperback Library",RA303,83.5,1
7d932d662168117b68068f57f5e7681d,de51293432d3c35d927cecab3b2701a0,767,Lakeshore Learning Materials,Supplies,LC5326 - Storage Rack,LC5326,19.99,1
15ad7caf4c1c7eac4fefea2c42959a06,de51293432d3c35d927cecab3b2701a0,27,Amazon,Supplies,American Educational Student Slide Making Kit,B00657XOV4,28,6
bcf79c290d07eb382f9f741b09d8ccfb,de51293432d3c35d927cecab3b2701a0,27,Amazon,Supplies,Anatomical Chart Co. Painted & Numbered Budget BuckyTM Skeleton Item #: CH168,B0009VJ0CE,261.42,1
ad62f8bee7713f0ce2c05267a3a4dfdf,de51293432d3c35d927cecab3b2701a0,27,Amazon,Supplies,Skeletal System Anatomical Chart Laminated,B0009VL14Y,12.6,1
5285c06a5b509a901f7bf719a5b5bc48,de51293432d3c35d927cecab3b2701a0,767,Lakeshore Learning Materials,Supplies,HH260X - Read About Science Learning Centers - Complete Set,HH260X,199,1
12f1764c17586396ef67f154dd7ac15a,de51293432d3c35d927cecab3b2701a0,27,Amazon,Supplies,AmScope 200pc Home School Student Basic Biology Science Prepared Slides Microscope Slides with Wooden Box Cases,B004YWTKX8,99.98,1
56e6ad902eee56fe992990a87120af24,de4f33a5ed93bc9035b6b92d908fe886,752,Nasco,Technology,Tennis Tutor&#174; ProLite with Oscillation &#45; Battery Powered,Z41696E,799,1
0b715cac93eb81abc692549eeba46116,de279050b361be20c7d7827ae0b8d424,775,Frey Scientific,Supplies,KIT CPO CRAZY TRAITS CLASSROOM PKG,392-4170,770,1
f85d27537870d9e8e7c451d2b7d5877a,de12991e0bce4ae27a161400f3a344b5,82,Best Buy for Business,Technology,Apple&#174; iPad&#174; 2 Wi-Fi - tablet - iOS 5 - 16 GB - 9.7',BB11271113,399.99,1
081eeeb2a847a833254382696f2b0cf2,de12991e0bce4ae27a161400f3a344b5,82,Best Buy for Business,Technology,OtterBox - Defender Series Case for Apple®iPad®2 and iPad (3rd Generation) - Black,BB12201455,44.41,1
78e4c34e597bffb647e8caf4b85695c5,de1204115168f43f01b570d9759aeac8,95,Carolina Biological Supply Company,Books,Pond Scum and Agnes Pflumm Book,956203,13.54,1
1f52d9bfd75d0f690673663f46e9977e,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,"SLIDE, APIS MELLIFICA, HONEY EA",565394,5.31,1
c883e41af798ff0efc665ec604f65796,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,BLOCK LIFE CYCLE HONEYBEE,1360407,39.59,1
8057ffed8bb1a90e786c874752747d22,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,DVD THE SCIENCE OF PLANTS SET/3,531173,116.96,1
854a034aeb5fcce5e7475bfd0907b67d,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,PLANTS AND PROCESSES LAM POSTER,35-1156,17.96,1
281c5638ec1c90be79ed18dedd89e2bc,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,BOOKS WHY SCIENCE MATTERS LIBRARY SET/11,1321479,128.12,1
360fe3635806e4fa1c0aea87de7cb02e,de1204115168f43f01b570d9759aeac8,27,Amazon,Books,The Real Deal Non-fiction Readers (Set of 5),B00BZ4PM1C,40.95,1
2f7d4388b08f715740c8e58356d995f8,de1204115168f43f01b570d9759aeac8,95,Carolina Biological Supply Company,Books,"Aquarium Tetrad Kit,  - NeedByDate: 9/15/2013",161250,77.85,1
6a372c70a5e940671f5f290742208bad,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,BOOKS ANIMALS AND INSECTS ENGLISH SET OF 11,1445253,54.8,1
1803bdae36186428863f13e1eb60d020,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,"INST1 SLIDE SET, INSECTS, SET/12",581422,98.96,1
d41c24768d854020bf7e5e9b27ee6417,de1204115168f43f01b570d9759aeac8,27,Amazon,Books,The Magic School Bus: The Complete Series,B007I1Q4MM,39.41,1
bdc925aec449c5e91be948b7072d81e2,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,MODEL FOOD CYCLE OF A BEE,131-0692,23.36,1
3bf4eda8e8c56945d9a09e6b7857ea25,de1204115168f43f01b570d9759aeac8,775,Frey Scientific,Books,BOOKS MEASUREMENT GR 3-5 SET OF 12,1362926,97.09,1
672ebef4538bcf297418c3354b6bb7bc,de0b5236c13c5c32060389c88759cfdf,178,Quill.com,Technology,iPod Accessories Lenmar Ultra Compact Retractable Headphones,901-AIHPR,8.81,2
fc03024eb62f351c73553c4c787b9782,de0b5236c13c5c32060389c88759cfdf,82,Best Buy for Business,Technology,Apple&#174; iPod&#174; touch - digital player  - Apple&#174; iOS 5,BB12391777,189.99,2
5190817ddca8893b204482d1b6b44ea8,de0081dd3647cdf9f6d90ca0409a5116,2,Kaplan Early Learning Company,Books,Vinyl Bean Bag - Red,88944-RD,38.21,2
e7b6a240e6555ad087460d41bdc9b72f,de0081dd3647cdf9f6d90ca0409a5116,2,Kaplan Early Learning Company,Books,Inferences and Drawing Conclusions,82744,9.31,1
c708559a3b1ac7ad4fe86b10a7aa0677,de0081dd3647cdf9f6d90ca0409a5116,194,Time for Kids,Books,TIME For Kids - Grades 5-6,tka2ys6,4.88,10
bded033a610cf212a9bb1a413c77eaf2,de0081dd3647cdf9f6d90ca0409a5116,2,Kaplan Early Learning Company,Books,Words Galore,91862,21.21,1
4bea3511b39ff50bb58c0577b3997163,de0081dd3647cdf9f6d90ca0409a5116,7,AKJ Books,Books,Where the Mountain Meets the Moon,9780316038638,6.57,5
1b72824f11b83c254324f793fdc113ea,de0081dd3647cdf9f6d90ca0409a5116,2,Kaplan Early Learning Company,Books,Red Video Rocker,22594,37.36,1
1fec6e42885b254c0e5ed576beae5673,de0081dd3647cdf9f6d90ca0409a5116,7,AKJ Books,Books,Confetti,9781880000854,6.53,1
1b667a26611c46f0084348c5f3fd0eab,de0081dd3647cdf9f6d90ca0409a5116,2,Kaplan Early Learning Company,Books,Guided Reading Balls,23188,5.91,1
bb2e22a8b205df9d00dd87ac3d4b329b,de0081dd3647cdf9f6d90ca0409a5116,7,AKJ Books,Books,The Black Stallion,9780679813439,5.1,5
a4571a6e8f08e5d8248926b4411fedeb,de0081dd3647cdf9f6d90ca0409a5116,7,AKJ Books,Books,Alice''s Adventures in Wonderland,9780812504187,2.91,5
8bfba9e8070e0b30c1d80aff9a761ce8,ddf5841ee831ee4736423a8896b9a624,767,Lakeshore Learning Materials,Supplies,GG727 - Activity Beanbags,GG727,16.95,1
c6e76fecbc0baaba602c3ed56c41442d,ddf5841ee831ee4736423a8896b9a624,2,Kaplan Early Learning Company,Supplies,Toss Across,86668,24.04,1
39b9f162eccf58d1264f60da1a676c71,ddf5841ee831ee4736423a8896b9a624,767,Lakeshore Learning Materials,Supplies,VS318 - Clean Sand - 25-Lb. Box,VS318,21.95,2
ebaddc8f1b4f7e96db108868ad273f9e,ddf5841ee831ee4736423a8896b9a624,767,Lakeshore Learning Materials,Supplies,BA781 - Easy-Grip Bumpy Balls - Set of 6,BA781,24.95,1
feaa18bd3389a40b0364c5a6dfe221b4,ddf5841ee831ee4736423a8896b9a624,2,Kaplan Early Learning Company,Supplies,Naturally Playful Sand Table,86665,60.16,1
4e508b9a0fb4e6f07a7a9bf6a6f7e02b,ddf5841ee831ee4736423a8896b9a624,2,Kaplan Early Learning Company,Supplies,Youth Pinnie - Red,17070-RD,4.26,16
a43f41cef73a28527e90439273760596,ddf5841ee831ee4736423a8896b9a624,2,Kaplan Early Learning Company,Supplies,Youth Pinnie - Blue,17070-BL,4.26,16
2a570ca2f4b62477f23a1824340b1b0d,ddeac1c7369ac0c437f2c77297633f40,,,Technology,13-inch MacBook Pro 2.4 GHz,MD313LL/A,1199,1
f73cf7e0f2b16fbde5fe8899e86d9e87,dde93ce738c5b19379bcda4a8e0eac14,27,Amazon,Technology,"Asus X401U 14"" Laptop 500GB/4GB/HD7340/Windows8 (Black)",B00DHBDY8Y,288.66,1
f934b99957224b2612644ebf3392b233,dde93ce738c5b19379bcda4a8e0eac14,27,Amazon,Technology,I-Interator Portable Interactive Whiteboard Technology Projector Accessory for Education System,B00A8CT59C,169.95,1
1ad40f8c448e36f53d31b6894d5052f6,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Learn Every Daytm Series (Set of 8),24535,84.96,1
e94fd977945c5023037d658308071d94,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Number Puzzle Board & Pegs,46349,30.56,1
033ba31dbbd8d8e097a73a226037d29f,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Letter Formation Sand Tray,21065,17.81,2
0194d47347b6728da9bfa0077b8210cf,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Learn Every Daytm : The Preschool Curriculum,24534,79.95,1
f7581e4cca04eeb7d175a4fffe1c870b,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Count-a-Butterfly,85995,26.31,1
bbbef37ef2416903618e30a3bc9456af,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,The Scholastic Differentiated Instruction Plan Book,92160,13.56,1
45365bc96568c040681b024028267898,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Back to Back Learning Kit - Counting & Correspondence,62064,25.46,1
0093c3932c43327648eae5a6d83400bc,ddd08231a4c316937c53d0cd5d4686f9,2,Kaplan Early Learning Company,Supplies,Count-A-Pig,16687,30.56,1
26646be2cf5ae2a5dd403e8678dee972,ddc483eb72d45669aefdeebeb4811d0f,767,Lakeshore Learning Materials,Supplies,FF524 - Small-Group Teaching Easel,FF524,79.95,7
c60452bbb9f153196f583218dd3c0398,ddc396d0eddc869278d1031e4a657002,82,Best Buy for Business,Technology,Apple iPad 2 Wi-Fi - tablet - iOS 5 - 16 GB - 9.7',BB11424811,399.99,2
3cf836c36f82ebb8473d128109f6afbd,ddc02403f737e628f4319f87c558b075,82,Best Buy for Business,Technology,Apple iPad mini Wi-Fi - tablet - iOS 6 - 16 GB - 7.9,BB12424779,329.99,1
b2f1236ba993847e012a06ea871ad79a,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,DG547 - Magna-Tiles - Master Set,DG547,129.99,1
1851924b8837a495e352e1b00772ba06,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,TT625 - Peg Number Boards,TT625,34.99,2
fce5fdd87068be5a211806040b62fff3,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,LL917 - Shape Sorting Center,LL917,16.99,2
ed2d85666aece4ac4e58983c2a48ec60,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,EE819 - Magnetic Numbers Fishing Set,EE819,39.99,2
26302c849b9e3148feda0bcb720252cd,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,FF490 - Let&#8217;s Go Shopping! Counting Games,FF490,49.99,1
32f585c7f0eb51c7c53e99176a171a48,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,JJ767 - Magnetic Learning Numbers,JJ767,69.5,1
03ddbff412558b5c17b02d75a6bdbbef,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,GG163 - Cookies on a Plate Counting Game,GG163,24.99,2
2bfcb0be694836d7af6038e952d7ba39,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,GG162 - Gems in a Treasure Chest Counting Game,GG162,24.99,2
715287592bf225550c2c868ecf4c7aeb,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,FF554 - Know Your Colors Sorting Baskets,FF554,19.99,1
5d8acf7f3ee5704e25a83f90648fd4be,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,RE989 - Shapes Theme Book Library,RE989,30.5,1
440de95f3df943da00171e36e35bf8c9,ddbf78cbf340ed27c82612da7784e644,767,Lakeshore Learning Materials,Other,FF608 - Giant Tracing Numbers,FF608,24.99,2
fc2de30d247c620032162e4e1dea197f,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Ruby Bridges Goes to School: My True Story,9780545108553,2.91,6
635d022b4a8f00d634fd93776c00a5dc,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Abe Lincoln''s Hat,9780679849773,2.91,6
480cc2c05962a9de7b8cda52895dad2f,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,"Alexander Graham Bell Elizabeth MacLeod, Andrej Krystoforski",9781554530021,2.88,6
4a73d25adf7e089073a6ea29d0310f9c,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Wwe John Cena (DK Readers Level 2 Series) BradyGames,9780756653873,2.91,6
f2577db7e3649e6db4238ef01bde8d3f,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Thomas Edison to the Rescue!,9780689853319,2.91,6
a64756c391f9e8b2cb9e489454fb3074,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Supercross Motorcylces Lisa Bullard,9780822558989,5.07,6
4e3656f1b65960dee48810be06e2d828,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,A Girl Named Helen Keller,9780590479639,2.91,6
eed5a27b2e64bfe927b0b77adbc32118,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Sacajawea,9780448425399,2.91,6
8d5919377c3290e7d42c6b9717d414d0,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,I Am Rosa Parks,9780141307107,2.91,6
2d6f7cfc65bd6c52ae69a41b1ccc3a7d,ddb857438a076e5e37f181088fc47b72,7,AKJ Books,Books,Ben Franklin and His First Kite,9780689849848,2.91,6
174887947001f0592a49169a08bca6dc,dd8f52fd05284d7353a0b40ad8008c16,82,Best Buy for Business,Technology,Nintendo Wii - game console - black,BB11612091,139.99,1
6b36abe4d3f116588881d53b219effda,dd8f52fd05284d7353a0b40ad8008c16,150,CDW-G,Technology,Wii Fit Plus   complete package,1897872,106.64,1
2c39e33f3b35b39cc2cd550f60ffdcb3,dd72dda17803b77c68f8afa399533ec4,767,Lakeshore Learning Materials,Other,JJ166 - Classic Birch 20-Cubby Storage Unit,JJ166,349,2
5fd3c89b2c987867e8636ed6ac2863ee,dd6a656d11274a87f2cfd2234a363303,82,Best Buy for Business,Technology,Canon - EOS Rebel T3i Digital SLR Camera with 18-55mm IS Lens - Black,BB11220456,599.77,1
227fea84b4ef4b500e0bc42f3210023b,dd4f1e2fdc7003bebd3573f008738d5c,82,Best Buy for Business,Technology,Epson WorkForce Pro WP-4540 - multifunction ( fax / copier / printer / scanner ) ( color ),BB11509078,309.99,1
66c446e76177e46e576dd162134ec728,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"FINTIE (Purple) Slim Fit Folio Stand Leather Case for Amazon Kindle Fire 7"" Tablet -10 Color Options (does not fit Kindle Fire HD)",B006GLEZ8U,9.99,1
f62db982620b467910a946d58fb88b5e,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,Number Balance,B000QDZYCK,19.87,1
66458f042df532eab49d39e59b4549bf,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,Instant Personal Poster Sets: Read All About Me!: 30 Big Write-and-Read Learning Posters Ready for Kids to Personalize and Display With Pride!,0439152852,9.56,1
aafe167943d49a22c20196b10a55ecbd,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,The AllowanceÂ® Game,B004ZAKI1M,16.99,1
b662e0fba2212993f1fb06f1fc7c04b8,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"FINTIE (Green) Slim Fit Folio Stand Leather Case for Amazon Kindle Fire 7"" Tablet -10 Color Options (does not fit Kindle Fire HD)",B006GLG6K0,10.99,1
85d1d6c64d3d6eb952738ce360920d54,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"FINTIE (Blue) Slim Fit Folio Stand Leather Case for Amazon Kindle Fire 7"" Tablet -10 Color Options (does not fit Kindle Fire HD)",B007JFUZAY,10.99,1
24ec009ad5c10c1ed93f71e92f89a3cf,dd4c698b43da899da0bbd8b204db27ee,767,Lakeshore Learning Materials,Other,AA306 - Level E Book Bin - Gr. 1 - Library 1,AA306,32.99,1
531bed4b9137172502b70b81c13ef281,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"PowerGen Dual USB 3.1A 15w Travel Wall Charger with Swivel plug for Apple iPad 2, New iPad 3, iPhone 5 4s 4 3 3Gs, Amazon Kindle Fire HD DX KeyBoard, Samsung Galaxy Tab (USB Cable NOT included) - BLACK",B0091XIUKY,14.99,1
c07eab572bdb5b9ecaf0a9d7b8e4ccfb,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"InstaparkÂ® LCL-24 Battery-powered Flameless LED Tealight Candles, 2-Dozen Pack",B0064RFHHO,14.2,2
1a81ed583635028e4b026bb675507fbb,dd4c698b43da899da0bbd8b204db27ee,767,Lakeshore Learning Materials,Other,AA309 - Level H Book Bin - Gr. 1 - Library 1,AA309,38.99,1
fc4a1ca1a5f8283fe0d60e78e31afc1b,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"Kindle Fire HDX 7"", HDX Display, Wi-Fi, 16 GB - Includes Special Offers",B00BWYQ9YE,229,1
2a5465b90b4548610a115bc1e5c6e1fd,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,"Mod Podge CS11204 1-Gallon, Gloss",B000YQKLJ0,29.99,1
7c831fea2872622eec854f4de004b441,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,CaseCrown Bold Standby Case (Blue) for Amazon Kindle Fire Tablet (Not Compatible with Kindle Fire HD 7),B005TN0OA4,6.99,1
56fd14a113375d14892d2b1995073533,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,A Box of Treats: Five Little Picture Books about Lilly and Her Friends,0060732113,11.78,1
97b763be024513625ba871e7a1ab9136,dd4c698b43da899da0bbd8b204db27ee,27,Amazon,Other,Bippity Bop Barbershop,0316033820,6.18,1
be8e93a9078e3cb630cc0cefc7eda4e3,dd3b14aa29e1cd0283efd35a14b65d71,767,Lakeshore Learning Materials,Supplies,FF575 - Find Me! Vocabulary Folder Games,FF575,29.99,1
7d17d90bc395bd4325ea0c17b8737b2b,dd3b14aa29e1cd0283efd35a14b65d71,767,Lakeshore Learning Materials,Supplies,TR670X - Building Fine Motor Skills Games,TR670X,69.5,1
8684f8d70cef2148a12c48d9e46b5590,dd3b14aa29e1cd0283efd35a14b65d71,767,Lakeshore Learning Materials,Supplies,LA1755 - Hands-On Sorting Center,LA1755,24.99,1
7d36b86230393c8566225b07f0ab3057,dd3b14aa29e1cd0283efd35a14b65d71,767,Lakeshore Learning Materials,Supplies,EE356 - Search & Find Alphabet Bags,EE356,149,1
db80dfe5c7c151421f14760a4128a362,dd3b14aa29e1cd0283efd35a14b65d71,767,Lakeshore Learning Materials,Supplies,RR741 - Alphabet Picture Stickers,RR741,19.99,1
2f706c7ebaee0ddb34fcf0ff734dee58,dd297222d907ea26af0acb419ada5c2c,7,AKJ Books,Books,Power of One,9780440239130,5.17,20
ef68fa5eda514c62c468b178178a2d19,dd0aa54b1282c1ae9e82d2ab0e6279d2,82,Best Buy for Business,Technology,SanDisk - 4GB Ultra Secure Digital High Capacity Memory Card,BB10843931,8.27,2
a4aeb8eacbccb6e6ce4a564372e84143,dd0aa54b1282c1ae9e82d2ab0e6279d2,82,Best Buy for Business,Technology,Canon - PowerShot A1400 16.0-Megapixel Digital Camera - Black,BB15332213,89.99,2
