projectid,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
f9ca4baa60ac9d0e73ca4216d71d397d,t,t,t,t,t,t,t,f,100.0,2.0,5.0
f9c156b551b0035d1834de8c5249ff89,f,f,t,t,t,t,t,f,100.0,0.0,3.0
f988ee11df4e818e541f23911d376748,f,,f,,f,,,,,,
f984a48a11aece5badaf4526f6473cef,f,f,t,t,f,t,f,f,45.0,0.0,11.0
f9779327975e88b5721456a195f27ed9,f,f,t,f,f,f,t,f,0.0,0.0,2.0
f97518bf58418c5f1bbc40e594bb3768,f,,f,,f,,,,,,
f939782daf5e19f45735228c9503f745,f,f,t,t,t,t,t,f,66.0,0.0,22.0
f8fe93ea9210365eafbcc56046a355bd,f,t,t,t,f,t,t,f,45.0,2.0,6.0
f8df22f27f755f7e6b7197d4a2630ab9,f,t,t,t,f,f,t,f,33.0,4.0,2.0
f8dca89903bbc08a4151efa44c03d253,f,f,f,t,f,f,t,f,0.0,0.0,2.0
f89de9f0b92c11279c58f191cc26b748,f,f,t,f,f,f,t,f,,0.0,1.0
f88b94dfdbc6a507e4280e75b002550c,t,t,t,t,t,t,t,f,83.0,2.0,3.0
f86a9ffc51a6d8ef80a0a5b79a3b12b8,f,t,f,t,f,t,f,f,50.0,2.0,3.0
f8656c24a57dcdc5374d07c12c07999e,f,f,t,t,f,t,t,f,44.0,0.0,14.0
f84bb7b1cf7a11f10a15b834145475c9,f,t,t,t,f,f,t,f,57.0,4.0,2.0
f840d0bd8ff7362452d5e684a09b2801,f,f,f,t,t,t,f,f,100.0,0.0,3.0
f83c388f41df31bfcf1c06e9d69fa58f,f,f,f,t,t,f,f,f,100.0,0.0,1.0
f82acfbac119a8bb77d20e97c26bb21e,f,f,t,t,t,t,t,f,100.0,0.0,10.0
f8172a95e0e6f0bf26cd7e300dd2cb16,f,t,t,t,f,t,f,f,60.0,6.0,6.0
f803a8e546ff083a19a3aff32191663b,t,t,t,t,t,t,t,f,62.0,2.0,11.0
f7d7076334512c3fe2f60fa7e75fc8d2,f,f,t,t,t,t,t,f,75.0,0.0,3.0
f7cc1dc95873572cbad4c707efee6570,f,t,t,f,f,f,t,f,50.0,1.0,1.0
f7bab0b2e1b5a9b695dac5ec9c3fd94b,f,t,f,t,t,t,f,f,66.0,1.0,3.0
f7aef6e8a849471512e2f4129864a45b,f,f,t,f,f,f,t,f,,0.0,1.0
f79093f403ec0a01c346911bc81bf93c,f,f,t,t,t,t,f,f,75.0,0.0,4.0
f76e3a38220b8efe1aceed63bcd97c7a,f,f,f,t,t,t,f,f,100.0,0.0,4.0
f7266d335dce1027719c91cb6907fa36,f,t,t,t,f,t,t,f,0.0,3.0,8.0
f71d27bc3c343cea78132b2a32e30281,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f70216f8699b25ef770b8137b9a3a5ed,f,f,t,t,f,t,t,f,0.0,0.0,4.0
f70012fc89a86fa9e9530b1496a90c0f,f,t,t,t,f,t,f,f,46.0,8.0,10.0
f6f5cb8adc6b05f7b28ee2f6715dc994,f,f,f,f,f,f,t,f,,0.0,1.0
f6d57cfa12da53538b3ad89c8fd86b46,f,f,t,t,f,t,t,f,33.0,0.0,3.0
f6c414953aba7a4d079d8d7dfb219c11,f,t,t,t,f,t,t,f,60.0,8.0,4.0
f6a7c55e61e590833db6ec34a1b0da9b,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f6514652c04228bf67751cbbdee57439,f,f,t,t,t,t,t,t,70.0,0.0,11.0
f64acd5969b56e2687ceaa7ba2773c25,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f606e3f24c647f2f5e8ddba593020ddf,f,f,f,t,t,t,t,f,100.0,0.0,3.0
f60648a368b36c90478e609fac1082c6,f,f,f,t,t,f,f,f,100.0,0.0,2.0
f5f14fc12f5131be24eba155ab1a3195,f,,f,,f,,,,,,
f5d50c7f98ef4f7d1c580d291801a023,f,t,t,t,t,f,f,f,100.0,1.0,0.0
f5be6a639a6b6c9ff55c52d176b610ee,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f5a84aa2487a2c9d589a660ebff064b9,f,f,t,t,f,t,t,f,48.0,0.0,29.0
f5a7d589c0592bbd928317b656237d3a,f,,f,,f,,,,,,
f54578f7a29682e736637e5a0c3eebe4,f,f,t,t,t,t,f,f,100.0,0.0,5.0
f53316780f1e605057c40a0f18040a0f,f,,f,,f,,,,,,
f51170a263b86afa8c72d00909df3b4b,f,f,f,f,f,f,f,f,0.0,0.0,1.0
f506f23a1780235b20417bbf42ec1348,f,f,t,f,f,f,t,f,0.0,0.0,2.0
f4fd8aab7c3a285cacbd6ecca43187df,f,,f,,f,,,,,,
f4e293db096d050b719bf63f7f18d7b0,t,t,t,t,t,t,t,f,75.0,4.0,10.0
f4c708a6f397c7c7d87f6f9c23906947,f,t,t,t,f,t,f,f,36.0,7.0,3.0
f4716d0289454b402fab9f6eea4d431c,f,f,f,t,f,f,f,f,,0.0,1.0
f46cc7a571503cd9ebdbb128776f4d4f,f,f,t,t,t,t,t,f,66.0,0.0,4.0
f45c66c8fad71ade76a99396be0c8122,f,t,t,t,f,f,t,f,50.0,1.0,2.0
f430f8de5d5e4ed0db71d75e77d64744,f,f,t,t,f,t,f,f,11.0,0.0,8.0
f41ef431e36425726489e2da5cee9b29,f,t,t,t,f,t,t,f,0.0,2.0,4.0
f41b62140243d103ed8f630822002592,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f4190089b19fa49bf3ce72933e9b0bf5,f,t,t,t,f,f,t,f,36.0,7.0,1.0
f3e79861b72358000d375c2dcbdfe878,f,f,t,t,t,t,t,f,87.0,0.0,10.0
f3bfb510f1b4eb3890eff34e1c57ec8c,f,f,f,t,f,f,t,f,50.0,0.0,2.0
f3a30261c8dd2e7b914dbaf91b6ac599,f,f,f,f,f,f,f,f,0.0,0.0,1.0
f394790f3055071b003c1149296b9ca0,t,t,t,t,t,f,t,f,100.0,1.0,2.0
f37fa7388d42c49eac65047b8aed7e1d,f,t,t,t,f,t,f,f,38.0,8.0,4.0
f37b50501f75a714f4647dc0806b6bee,f,t,f,t,t,f,f,f,100.0,1.0,1.0
f37ab6b460cd7e3ac9d03835463f7cb8,f,f,f,t,f,t,f,f,50.0,0.0,3.0
f358689c61454c0329ce68946c2b603a,f,,f,,f,,,,,,
f3219f8824a3ad362694c066c331fa56,f,,f,,f,,,,,,
f310636c910db81dd02e68581cd7b711,f,t,t,t,f,f,f,f,,1.0,2.0
f30824b0e73cbc99e60e3d96da6761d0,f,f,f,t,t,t,f,f,100.0,0.0,3.0
f306d3a4bb6b19c20033ab72e8b7ecae,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f2daf4066e10f62ca54576dd44c16a96,f,,f,,f,,,,,,
f2c86197b1a75074d9db102026fe4df0,t,t,t,t,t,t,t,f,100.0,2.0,6.0
f2bc4e4536a76821473e51c447709801,f,,f,,f,,,,,,
f2b939a1a02a66bff2200700b0668d12,f,t,t,t,f,t,f,f,50.0,6.0,5.0
f293c05965e69460c4bd7207af6c5c42,f,f,f,t,t,f,f,f,100.0,0.0,1.0
f292897c7691de3c3e0358c9f6200c52,f,t,f,t,f,t,f,f,40.0,2.0,30.0
f282a4c60ef95d968ebce4215358bae6,f,t,t,t,f,f,t,f,0.0,3.0,1.0
f270e026bc89f18b832c6ca118a81d8c,f,f,t,t,t,f,t,f,100.0,0.0,2.0
f26064e1e963cee49a9a43ffee4653da,f,f,t,t,t,t,t,f,66.0,0.0,3.0
f25ca8a02829c5cdf3be5ee284d1c0be,f,f,f,t,t,f,f,f,100.0,0.0,2.0
f25534a9b004f7b185270142ef72e00f,t,t,t,t,t,t,t,f,87.0,5.0,8.0
f24c89156eb85fc214acdef733accc42,f,f,f,t,t,f,f,f,100.0,0.0,2.0
f23dadd3c1bb02977281970b9925fb9b,f,f,t,t,t,t,t,f,66.0,0.0,3.0
f23967f1915bf68bfe88c2afa085a85e,f,f,f,f,f,f,f,f,0.0,0.0,1.0
f2361bebed5bef431849c2245d363a97,f,t,t,t,f,f,t,f,0.0,2.0,1.0
f2348250f0f8ddfc5a5b5acdaafa8ffd,f,f,f,f,f,f,f,f,,0.0,1.0
f21b60168b13dd5d7244b71b92523c76,f,f,t,t,t,f,t,f,100.0,0.0,2.0
f210fa9a95dde3b6834040082674a453,t,t,t,t,t,f,t,f,100.0,1.0,2.0
f1e40262cf78f7d2d369b3188d76c317,f,f,t,t,f,t,t,f,0.0,0.0,4.0
f1d11d7cb24706cd2d5f5a208db1e572,f,f,t,t,f,t,t,f,42.0,0.0,6.0
f1ad6de96c29f3df8e7a691cb5d65d46,f,f,t,t,t,t,t,f,66.0,0.0,3.0
f1a661626640834132197dc4507eb92c,f,f,t,t,f,t,t,f,50.0,0.0,3.0
f17f95c497ba6e6db740cb1f7e732338,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f144daec4125c1c486f5bf86469656c5,f,t,t,t,f,f,t,f,57.0,4.0,2.0
f13764db8201a8b72a1b34fdf4bd80d4,f,f,f,t,f,t,f,f,50.0,0.0,6.0
f11ef604935d034c59b4f40ed90a3498,f,f,t,f,f,f,t,f,0.0,0.0,1.0
f10e69f404adda0487fc3ff5dd3bc053,f,f,f,f,t,f,f,f,100.0,0.0,1.0
f107c21ebd2877ba5a9d5da0a2cc52f7,f,f,f,t,t,f,f,f,100.0,0.0,1.0
f1020b6fc5d5f840b195fb596cdfba4e,f,,f,,f,,,,,,
f0c5eb0beadf75cd6b42616a4a3b5640,f,,f,,f,,,,,,
f0bc5bc0828528801fb07eb4ec0e934e,f,f,f,f,f,f,f,f,0.0,0.0,1.0
f0badacee4cfb8464b7d07ff68f03cdd,f,f,t,t,f,t,t,f,50.0,0.0,4.0
f0a9beac965ea12619df3b90b8a03dd6,f,f,f,f,t,f,f,f,100.0,0.0,1.0
f0758f9d524f61564c7a2758c3c9c526,f,t,t,t,t,f,f,f,66.0,5.0,1.0
f057dc8edd36ca2b989919215d419e4c,f,f,f,f,t,f,f,f,100.0,0.0,1.0
f0297cc109077652b672faf7d3f9ccae,f,f,t,t,t,t,t,t,83.0,0.0,11.0
f017c3d21863bb13699779015a2365c0,t,t,t,t,t,t,t,f,81.0,9.0,11.0
f004facbbf31bd6495bf88705f8fc003,f,f,t,t,f,f,t,f,50.0,0.0,2.0
efe699eeb7143db871a53297b8f20573,f,t,t,t,f,t,t,f,43.0,11.0,5.0
efe63943a6711e59cf3dd7c6fa459160,f,f,t,f,f,f,t,f,0.0,0.0,2.0
efdf735cfd7283ddc507353afeae6eff,f,,f,,f,,,,,,
efd9bea7aaef707117dfcf87b5f2a838,f,f,t,t,f,t,t,f,0.0,0.0,5.0
efa381ddbca09b8d1c805e8d5d64eeb8,t,t,t,t,t,t,f,f,75.0,1.0,9.0
ef849bb706a617631a331ef0889f47da,f,,f,,f,,,,,,
ef72d9c9e0a3f9fef75a9ef7236e6f10,f,f,t,f,t,f,t,f,100.0,0.0,2.0
ef2743143bf71df9c2e0617d061e5f03,f,t,t,t,f,t,f,f,60.0,4.0,4.0
ef09310ee5bf2421c78f83cd52cd2b76,f,t,t,t,f,f,t,f,50.0,1.0,2.0
ee80d3b42161db712ccdc3aa6553aad7,f,t,t,t,f,t,f,f,45.0,3.0,7.0
ee603dda1cd788ba6d1e53cbc6e7efba,f,f,f,t,t,t,f,f,75.0,0.0,5.0
ee3ec24c685081d4474339df422a1845,f,t,t,t,f,f,t,f,0.0,3.0,1.0
edfc9a10e9be9bb284bf8da6b573967f,f,f,t,f,f,f,t,f,0.0,0.0,1.0
eddfb1892b53f68278122a4b29463856,f,,f,,f,,,,,,
ed7f89d152febba24d0a2cca6d88b2bf,f,t,t,t,f,t,t,f,25.0,2.0,4.0
ed6126fa41368f82f4b20b3c56420342,t,t,t,t,t,t,t,f,80.0,3.0,3.0
ed571a5170f7816c4b68053549b8e5b7,f,t,t,t,f,t,t,t,50.0,2.0,9.0
ed54a935bc57aa9b9a8046cb15f64f4f,f,t,t,t,f,f,t,f,33.0,2.0,2.0
ed45f1a612f942e1445b7b97711c5d31,t,t,t,t,t,t,t,f,64.0,4.0,10.0
ed0b12ee755f7c82d778138c73ae77ae,f,f,t,t,f,t,f,f,6.0,0.0,66.0
ed08cf4cfbcafbe909ad967798698959,t,t,t,t,t,t,t,f,90.0,2.0,14.0
ecde4faa08edfa0c02b912c4aaa4c57d,f,f,t,t,f,t,t,f,50.0,0.0,4.0
ecca3e2ff40cda46ab7d91a6f00572ed,f,t,t,t,f,t,t,f,42.0,1.0,5.0
ecbd1cd9c90414998da6b1c4cb664a24,f,t,f,t,f,f,f,f,0.0,2.0,0.0
ecac0f48e27d346a3ef16748e2991f32,f,,f,,f,,,,,,
eca20a9fd762cdc6f9c5fce17a2e50a6,f,f,t,t,f,t,t,f,33.0,0.0,9.0
ec6bd2784207944b1c1982e0ae4daf55,f,f,f,f,f,f,f,f,,0.0,1.0
ec3fd64ab8b54b5dbf7978b313ba12e2,f,f,t,f,f,f,t,f,0.0,0.0,2.0
ec136f52bcb03c34683d4e9c0f585ec1,f,,f,,f,,,,,,
ebf598eb38cde1f9c14fd6e0c66edac8,f,f,t,f,f,f,t,f,50.0,0.0,2.0
ebb875a08476e1ff3b1858d3aa4c262a,f,t,t,t,f,f,f,f,50.0,6.0,2.0
eb6a41750dff97f674de1ced0767241a,f,t,t,t,f,t,t,f,31.0,11.0,3.0
eb616a7df5a398ff06a262867015d71a,f,f,t,t,f,t,t,f,0.0,0.0,3.0
eb3d17c404c54947d5ccbee5a199d4cc,f,,f,,f,,,,,,
eb347caac04f4c7a8dfcbe56cdd93fb6,f,t,t,t,f,t,t,f,33.0,2.0,7.0
eb2522d6996c4becaccf776fe74e6141,f,f,f,t,f,t,f,f,57.0,0.0,18.0
eb1d215452d46e825f77b20f9a3b0d95,f,f,t,f,f,f,t,f,0.0,0.0,1.0
eaec73e3db793e24cc7bea35305a0418,f,t,t,t,f,f,t,f,50.0,2.0,1.0
eaeaf2a987164acf7a6dd50e826a801e,f,t,t,t,f,t,f,f,50.0,1.0,3.0
ead90d0256947a1d1c775330aefb56ca,f,f,t,f,t,t,t,f,66.0,0.0,3.0
ead612606bb8e1f8b46a8d954abe1e92,f,f,f,t,t,f,f,f,100.0,0.0,2.0
ead1375bd7bce02708dcea6867c497cc,f,f,t,t,t,f,t,f,100.0,0.0,1.0
eabf1bbf8067e979f232641dff72ee6e,f,f,f,f,f,f,f,f,0.0,0.0,1.0
ea9fe80ba8b2d7859441d55a0fb59fae,f,t,t,t,f,f,t,f,0.0,3.0,1.0
ea9e4027e11991e150b0474592d3c49b,f,,f,,f,,,,,,
ea913b4481d6b3d662154f418dcb99ac,t,t,t,t,t,t,f,f,81.0,8.0,5.0
ea7ca2cfa8ae4c7390efb3ad069e2b91,t,t,t,t,t,t,t,f,66.0,3.0,4.0
ea68d4176e56f975820859c734dc45fd,f,f,t,t,f,t,t,f,20.0,0.0,5.0
ea55b7c018e9505f7d4e66f7ba9b5d4b,f,t,t,t,f,f,t,f,31.0,12.0,2.0
ea4641578de3335a00ea0c4b8933a29c,f,f,t,f,f,f,t,f,0.0,0.0,2.0
ea416ff8c232c370e14c31659c185e2e,f,t,t,t,f,t,f,f,27.0,6.0,4.0
ea383720219fe5aba830fded15bff80e,f,f,t,t,f,t,t,f,46.0,0.0,9.0
ea349e8c385413ba22f0f4c6ca0aab96,f,t,f,t,t,t,t,f,66.0,2.0,5.0
ea2c3c2186c74308903c2e9a0b7dd288,f,f,t,f,f,f,t,f,0.0,0.0,1.0
ea12d9325b576d4246fdcc62cd4694c7,f,f,t,f,f,t,t,f,50.0,0.0,21.0
ea0a6f438c7c3c538d19daf94cdc6884,f,f,f,f,f,f,f,f,,0.0,1.0
ea08e6978e047c9a5fb4a2a9269d4002,f,f,t,f,f,f,t,f,50.0,0.0,2.0
e9d1b22c38018a5098a07b77ec6bfe36,f,t,t,t,f,t,t,f,50.0,1.0,6.0
e9483c3243fd49c72c295533e89d6ff6,t,t,t,t,t,t,f,f,80.0,6.0,4.0
e925d5461afebc96ba1cc32eb2acdd9d,f,t,t,t,f,t,t,f,61.0,7.0,5.0
e90c97ba8678ba76d122914ff16d2bf6,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e8ede350ac43009f91023c53845c09cd,f,f,t,f,f,t,t,f,,0.0,3.0
e8e6c5f76be3875c85ded769aa3c5545,f,f,f,t,f,t,f,f,50.0,0.0,3.0
e8dfce53c46c7ca136d475e4ccbb6317,f,t,t,t,t,f,f,f,100.0,1.0,0.0
e8d9d49bcef33da60b3a21fb3916acf3,f,t,t,t,f,f,f,f,44.0,4.0,2.0
e8d5405b8170f5ef39b77cc875e3c078,f,,f,,f,,,,,,
e8c9fb6e07baea2a71d54169fd219aa2,f,f,f,t,f,t,f,t,37.0,0.0,5.0
e8c59f4eee8a090eaf941d2b095d3d37,f,,f,,f,,,,,,
e8b7654d044ea57ac4a9000c58560691,f,t,t,t,f,t,f,f,43.0,8.0,4.0
e8b5f282b978afcc7964f9ac55f3dbfb,f,f,f,t,f,f,f,f,0.0,0.0,1.0
e8b5e4342e9357ae751011413ccdded0,f,t,t,t,f,f,t,f,0.0,2.0,2.0
e882829c0a407ce68210a3cbc24d04e5,f,t,f,t,f,f,f,f,,1.0,0.0
e858814e7bfefbb8b359ce6094a9b978,f,f,t,t,f,f,t,f,0.0,0.0,1.0
e847251053ff4d996fb79da097d9d533,f,t,t,t,f,t,t,f,13.0,6.0,6.0
e82dc3e40c7b1502983f31bded3b0250,f,,f,,f,,,,,,
e824cf41d60b92efaab7fb8868654984,f,f,t,f,f,f,f,f,0.0,0.0,1.0
e80467ae5184be9f129941e9f4bfceb8,f,f,t,t,f,f,t,f,50.0,0.0,2.0
e7f24c7effe501d61f7708aeb637594c,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e7deaebdc6f79153190fdd895f25ca71,f,f,t,f,t,f,t,f,100.0,0.0,1.0
e7c8040c709b24f1db9b2ced0ffad43c,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e7c5b6685771c48b6e72e1fcc8b93e27,f,f,f,t,t,f,f,f,100.0,0.0,2.0
e7665ca2acb3166617589855afccadaa,t,t,t,t,t,t,t,f,72.0,4.0,5.0
e7474218027d8198807e74c87cafd152,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e715279018345d19dbb622edc1ed1c2a,f,t,t,t,f,t,t,f,60.0,5.0,8.0
e70f1586365ca76525deff8c4eadaac9,f,t,t,t,f,f,f,f,7.0,9.0,0.0
e6d633c94496abd024eb725040340141,f,f,t,t,t,f,t,f,100.0,0.0,1.0
e6d4b19621203e63c1513123145bc7f0,f,f,t,t,t,t,t,f,80.0,0.0,5.0
e6d195c00d4349611d0678afed18ca93,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e6bca72f14ea65f49e36f6a6520332e8,t,t,t,t,t,t,f,t,80.0,1.0,21.0
e66bc5387042b8bbe46dc5c350e88cf9,f,t,f,t,t,t,t,f,100.0,2.0,5.0
e6202bd17c055e77878893574e9c0e1c,f,f,t,f,f,f,t,f,0.0,0.0,1.0
e605d0e9d6086a829ae90bb671283b63,f,,f,,f,,,,,,
e5fcee8f491be68ae1d9d91242ba930e,t,t,t,t,t,t,f,f,66.0,5.0,5.0
e5f0246bfdb6f54b9612200cb3798538,t,t,t,t,t,t,t,f,100.0,1.0,3.0
e5e0449224e615e16910c1831b844a52,f,f,t,t,f,t,t,f,16.0,0.0,11.0
e5c0d8d211bc2c83c2aec30d111f72dd,f,t,t,t,f,t,f,f,54.0,4.0,3.0
e5bce036296f731695ff542acbc786ec,f,t,t,t,f,t,t,f,50.0,1.0,3.0
e587965a5740443ef28d60f698aa0b4a,f,f,t,t,t,t,t,f,66.0,0.0,7.0
e586ee525b9c847f6db614a6d3045533,f,f,f,f,f,f,f,f,50.0,0.0,2.0
e57166704383ae7725cabfc7d3dc7a5c,f,f,t,t,f,f,t,f,,0.0,1.0
